stock,price
AAPL,2693.5
X,1338
KO,2030
PBR,2034.75
NOKA,1061.25
NVDA,1632.25
HMY,629
VALE,1323.25
XOM,2312
ITUB,860
HSBC,2622
SQ,2274.5
BRKB,2425
OGZD,994.5
SNOW,1967.25
QCOM,2212.25
INTC,2057.5
DESP,2344
BBD,731.25
HAL,2179.75
T,1743
CVX,2495.5
WFC,1811.75
SPOT,1568.5
GPRK,2759.25
BIDU,2581.75
SHOP,2407.25
AUY,762
PAAS,1484.25
MA,1997.5
BBV,1311.5
ZM,1028.75
BB,595
PTR,2486
ETSY,2478.5
ARCO,1925.25
CSCO,2036.5
UGP,503.25
MO,2209
CX,1264.25
AVGO,2381.5
UNH,2272
HOG,2288.75
PSX,2464.25
BRFS,
ABBV,
DOCU,
SAN,
BP,
ABEV,
WBA,
SLB,
ERIC,
GFI,
HL,
